24972, 16649, 8326, 24974, -24973, -1, 8326, 8323, 0
-24973, 24974, -24974, 24972, -2, -2, 1, -24974, 49951
2, -3, -1, -3, 6, 24974, 2, 5, 0
-5, -5, 1, 4, 3, 1, 24974, 24974, 3
-16649, -16650, 33299, -16650, -16649, 33299, -33299, 33299, 66598
-16650, -33299, -16649, -33299, -33299, 16649, 33299, -33299, 133196
-1, 3, -1, -4, 5, 24974, 24974, 3, 0
5, 8, -1, 2, 7, -4, -4, 24974, 0
16650, -33299, 33299, -16649, -33299, -33299, 33298, -16649, 99896
-8326, 8324, 24974, 24973, -8326, -8323, 8324, 24974, 1
-16649, -16650, -33299, -16649, -16650, -33299, -33299, 33299, 133196
33299, 16650, -16649, -33299, -33299, 16649, -33299, -33299, 116546
-12486, -12488, -12488, 24974, -12487, 0, -24974, -12487, 62436
-12487, -24974, 0, -12486, 24974, -12487, -12487, -12488, 62435
7, 5, 2, 4, 4, 1, 6, -24974, 24966
-5, 24974, 2, -2, 4, 24974, 1, -5, 6
