-2, 1, -3, -3, -3, -3, -1, -2, 14
1, -1, 1, -2, 1, -2, -2, -2, 7
5, 8, 7, 8, -1, -3, -3, -1, 0
1, -3, 3, -2, -1, 2, 2, -3, 6
-4, 6, -5, 2, -2, 6, 5, -1, 6
6, 4, 2, 5, -6, 3, 2, 1, 0
-2, -1, -1, 1, 3, 4, 3, 3, 0
-2, 3, 1, -3, -1, -3, 3, -2, 8
1, -2, -4, -3, -4, 2, -3, 2, 12
-4, -3, 3, 1, 3, -2, -3, -2, 10
-2, -1, -1, -2, -2, -1, -3, 2, 9
3, -1, -1, -4, 2, -1, 4, 3, 3
-2, 2, 0, 2, 2, -1, 1, 1, 1
2, 4, 3, 1, 3, 1, -5, 4, 0
1, -3, 4, 2, -3, -2, 3, 1, 4
-1, -5, -3, 5, 3, 2, -5, -4, 12
1, 3, -1, -3, 3, 2, 2, 0, 1
-1, 1, 1, -1, -1, 1, -1, -1, 4
3, -3, -1, 3, -2, -1, 3, -3, 7
