3299, 3299, -3299, 1651, -3299, 3299, -3299, 1648, -3299, 1649, -1649, -3299, -3299, 1651, 1650, 3299, 18144
2474, -2473, -2, 1, -2473, -2474, 2472, 2474, 2474, 2473, 4, -2474, 2474, 2471, -2470, 2471, 9892
1977, 1979, -1979, 989, -991, 1979, -1977, 1979, 989, 991, 1977, 987, -990, 1, -1979, -1977, 7915
2474, 5, -2474, -1, 2474, 2, -3, -2474, 5, 3, -4, 5, -4, 2474, 5, -5, 4959
1234, -2474, -1238, -2474, 2474, -1238, 1235, -1238, -1238, -2474, -2474, 1236, -2474, 1238, 2474, 1237, 14850
2474, 1, -2474, -2473, -1236, 1238, -2474, -1237, -2473, 2474, -2474, 2474, 2474, 1237, 1238, -2473, 14840
2474, 2470, 2472, -2, -2472, -2474, 1, 2472, -2474, 4, -2472, 2474, 2474, -2474, 2471, 2473, 9894
2474, 2474, -6, 2, -2474, -7, 6, 3, -4, 5, 7, -7, -2474, 2474, -6, 4, 4969
11, -4, 10, -5, 14, 1979, 1979, 2, 11, -12, -1979, -3, 14, 13, 1979, 1979, 1988
3299, -1650, -1649, -1649, -3299, 1651, 3299, -3299, -3299, -1651, -1648, -1651, -3299, -1650, -1650, -3299, 26394
2473, -2474, -2472, -2472, 2, 2473, -2473, -2474, -1, 2470, 2472, 4, -2471, 2471, -2473, 2474, 14836
2474, -1237, 1238, -1235, -2474, -1239, -2472, -2472, -1236, 2474, -1239, -2474, 2473, -1239, 2474, 2, 14843
2472, -2474, 2471, 1, 2472, -2473, 2472, 2, -2471, 2472, 2474, 2472, 2474, 3, -2473, 2474, 7417
1317, -5, -658, 1974, 1318, -656, 1979, 1973, -660, 1979, 1979, 1979, 662, 1978, 1319, 1318, 0
1235, -2, 1238, 2472, 2472, 1236, 2474, -1238, 1237, -2472, -1239, 2474, 2474, 2474, -2472, -2474, 7423
2473, 2474, 1237, 1239, 620, 1854, -1237, 1238, -2474, 2474, -2474, 2474, -2474, -1235, -1236, -618, 9274
2474, -1238, 1237, 2474, -1239, 1235, 1237, -1236, -2474, 2474, 2474, 2474, -2474, -1238, 2474, 1239, 7425
5, -2474, 8, -7, 2474, 4, -2474, 2474, 7, 8, 3, 2, -2474, -8, 6, 8, 7427
2474, -2474, -2473, -2474, 1649, -825, 1650, 2474, -824, 1650, 2474, 826, -2473, 2474, -2473, 1648, 11542
2472, 2472, 3, 2474, -2470, 2474, -2474, -2474, -2473, 2473, -1, 2474, 2474, 2, 2474, -2473, 9891
10, -4, -2474, 2, -9, 2474, 2474, -7, -2474, -10, 9, -2474, -10, 9, 1, 4, 7451
2474, 2474, 2474, 7, -6, 2474, -2474, 3, 2474, -4, -8, 8, -8, -2, -8, 5, 2500
4, 2474, 2474, -5, 3, -2474, 4, 6, -5, -3, -2474, -2474, -2474, 6, -2474, 2, 12375
2, 2474, 2471, -2473, -2470, 2474, -2474, -2474, -2474, 2472, -2474, -4, 1, -2473, -2474, -2473, 19789
2472, 3, 2468, 2472, -2474, -2474, 2467, 2474, -2470, 2474, -2474, -2471, -2472, 2469, 4, 2, 12361
2473, 2473, 1, 2473, 2474, -2474, 2474, -2472, -2474, -2, 2474, 2473, 2473, -2, 2473, 2474, 4950
2474, 2, 2468, -2474, 2470, -2471, 2474, 2474, 2471, -3, -2474, 2470, 2469, 2471, 4, -2474, 7422
2, -3299, -3299, -3, 3, 3299, 3299, -3299, -3299, 3, 3299, -1, 3299, 3299, -2, 3299, 13198
2474, -1, 2474, -3, -2472, 2473, 2474, -2, 2473, -2473, -2472, -2473, 2471, 2473, 2474, -2474, 9896
3299, -1, 3299, 4, -4, -3299, 3299, -3299, 4, 3299, -2, -4, -4, -3, -2, 4, 6613
4, -2470, 1235, -2474, -2474, -1234, 2473, -1236, -1236, -1240, 1235, -2474, 2474, -2470, 1240, 2474, 14834
2474, 2474, -2472, -2474, 2474, -2474, -2474, 3, 2474, -2, -1, 2473, -2473, -2473, 2471, -2473, 14842
1237, 1238, 2473, -1237, 1238, -1236, -1238, -2473, -2474, -1238, -2473, -2474, 2474, 2474, -1, 1238, 12370
